VLAN,IP地址,MAC地址,设备类型,设备名称,物理部署位置,所属部门,使用人,备注,使用状态,登记日期,上层交换机,交换机端口,向日葵远程ID,网关
50,10.10.50.90,39:0C:8C:7D:72:47,安防监控与通道管理,清云宗安防摄像头-001,灵药园,清云宗,招生长老,资源监控,已使用,2024/2/2,SW-QY-1,Gig1/0/6,,10.10.50.1
50,10.10.50.91,0D:65:D6:70:E5:8E,核心IT与网络基础设备,清云宗防火墙-002,闭关洞府,神女宗,闭关长老,日常使用,已使用,2024/8/8,SW-QY-3,Gig1/0/7,,10.10.50.1
50,10.10.50.92,B0:87:16:EB:3F:C1,核心IT与网络基础设备,清云宗核心交换机主控,传功堂,清云宗,青云内门弟子,备用节点,预留/备用,2025/1/5,SW-QY-5,Gig1/0/13,149203558,10.10.50.1
50,10.10.50.93,94:28:77:33:C2:8E,办公与会议终端外设,清云宗会议终端-004,藏经阁,清云宗,闭关长老,日常使用,已使用,2025/11/17,SW-QY-3,Gig1/0/45,795822698,10.10.50.1
50,10.10.50.94,57:7D:53:EC:C2:8A,安防监控与通道管理,清云宗门禁闸机-005,弟子宿舍区,清云宗,青梦仙子,护短设备,已使用,2024/2/2,SW-QY-3,Gig1/0/26,,10.10.50.1
50,10.10.50.95,A1:6C:FF:CA:EA:49,办公与会议终端外设,清云宗打印机-006,演武场,清云宗,演武教习,闭关专用,已使用,2026/2/3,SW-QY-5,Gig1/0/28,528853029,10.10.50.1
50,10.10.50.96,46:FC:2E:18:38:4E,安防监控与通道管理,清云宗门禁闸机-007,闭关洞府,清云宗,青云内门弟子,正常运行,已使用,2025/1/25,SW-QY-5,Gig1/0/30,694021782,10.10.50.1
50,10.10.50.97,3A:88:AE:39:96:DE,核心IT与网络基础设备,清云宗服务器-008,宗主殿,清云宗,青云弟子乙,穷宗刚配,已废弃,2026/2/19,SW-QY-2,Gig1/0/33,771410971,10.10.50.1
50,10.10.50.98,65:4E:BF:52:00:A5,办公与会议终端外设,清云宗办公电脑-009,炼丹室,清云宗,闭关长老,测试设备,预留/备用,2026/5/1,SW-QY-3,Gig1/0/16,,10.10.50.1
50,10.10.50.99,2B:F8:23:40:41:F3,安防监控与通道管理,清云宗门禁闸机-010,传功堂,清云宗,演武教习,护短设备,预留/备用,2025/3/9,SW-QY-2,Gig1/0/35,840739735,10.10.50.1
50,10.10.50.100,9F:CC:BF:E0:E7:3D,核心IT与网络基础设备,清云宗防火墙-011,炼丹室,清云宗,闭关长老,日常使用,已使用,2025/7/21,SW-QY-2,Gig1/0/38,,10.10.50.1
50,10.10.50.101,1E:75:22:10:A9:24,安防监控与通道管理,清云宗门禁闸机-012,传功堂,清云宗,藏经阁管事,挡劫相关,已使用,2024/5/15,SW-QY-5,Gig1/0/37,942478695,10.10.50.1
50,10.10.50.102,D0:61:30:31:DC:B5,办公与会议终端外设,清云宗检索终端-013,招生殿,清云宗,青梦仙子,日常使用,已使用,2025/10/23,SW-QY-1,Gig1/0/4,464323393,10.10.50.1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
