VLAN,IP地址,MAC地址,设备类型,设备名称,物理部署位置,所属部门,使用人,备注,使用状态,登记日期,上层交换机,交换机端口,向日葵远程ID,网关
10,10.10.10.173,39:0C:8C:7D:72:47,安防监控与通道管理,清云宗安防摄像头-001,灵药园,清云宗,招生长老,资源监控,已使用,2024/2/2,SW-QY-1,Gig1/0/6,,10.10.10.1
10,10.10.10.164,0D:65:D6:70:E5:8E,核心IT与网络基础设备,清云宗防火墙-002,闭关洞府,清云宗,闭关长老,日常使用,已使用,2024/8/8,SW-QY-3,Gig1/0/7,,10.10.10.1
10,10.10.10.101,B0:87:16:EB:3F:C1,核心IT与网络基础设备,清云宗核心交换机主控,传功堂,清云宗,青云内门弟子,备用节点,预留/备用,2025/1/5,SW-QY-5,Gig1/0/13,149203558,10.10.10.1
10,10.10.10.68,94:28:77:33:C2:8E,办公与会议终端外设,清云宗会议终端-004,藏经阁,清云宗,闭关长老,日常使用,已使用,2025/11/17,SW-QY-3,Gig1/0/45,795822698,10.10.10.1
10,10.10.10.165,57:7D:53:EC:C2:8A,安防监控与通道管理,清云宗门禁闸机-005,弟子宿舍区,清云宗,青梦仙子,护短设备,已使用,2024/2/2,SW-QY-3,Gig1/0/26,,10.10.10.1
10,10.10.10.243,A1:6C:FF:CA:EA:49,办公与会议终端外设,清云宗打印机-006,演武场,清云宗,演武教习,闭关专用,已使用,2026/2/3,SW-QY-5,Gig1/0/28,528853029,10.10.10.1
10,10.10.10.66,46:FC:2E:18:38:4E,安防监控与通道管理,清云宗门禁闸机-007,闭关洞府,清云宗,青云内门弟子,正常运行,已使用,2025/1/25,SW-QY-5,Gig1/0/30,694021782,10.10.10.1
10,10.10.10.184,3A:88:AE:39:96:DE,核心IT与网络基础设备,清云宗服务器-008,宗主殿,清云宗,青云弟子乙,穷宗刚配,已废弃,2026/2/19,SW-QY-2,Gig1/0/33,771410971,10.10.10.1
10,10.10.10.225,65:4E:BF:52:00:A5,办公与会议终端外设,清云宗办公电脑-009,炼丹室,清云宗,闭关长老,测试设备,预留/备用,2026/5/1,SW-QY-3,Gig1/0/16,,10.10.10.1
10,10.10.10.30,2B:F8:23:40:41:F3,安防监控与通道管理,清云宗门禁闸机-010,传功堂,清云宗,演武教习,护短设备,预留/备用,2025/3/9,SW-QY-2,Gig1/0/35,840739735,10.10.10.1
10,10.10.10.192,9F:CC:BF:E0:E7:3D,核心IT与网络基础设备,清云宗防火墙-011,炼丹室,清云宗,闭关长老,日常使用,已使用,2025/7/21,SW-QY-2,Gig1/0/38,,10.10.10.1
10,10.10.10.191,1E:75:22:10:A9:24,安防监控与通道管理,清云宗门禁闸机-012,传功堂,清云宗,藏经阁管事,挡劫相关,已使用,2024/5/15,SW-QY-5,Gig1/0/37,942478695,10.10.10.1
10,10.10.10.216,D0:61:30:31:DC:B5,办公与会议终端外设,清云宗检索终端-013,招生殿,清云宗,青梦仙子,日常使用,已使用,2025/10/23,SW-QY-1,Gig1/0/4,464323393,10.10.10.1
10,10.10.10.73,62:61:E5:47:D8:5D,办公与会议终端外设,清云宗检索终端-014,演武场,清云宗,招生长老,资源监控,已使用,2026/6/1,SW-QY-5,Gig1/0/7,,10.10.10.1
10,10.10.10.224,07:2F:79:55:D0:F8,办公与会议终端外设,清云宗打印机-015,闭关洞府,清云宗,青梦仙子,挡劫相关,已使用,2024/1/3,SW-QY-4,Gig1/0/17,943026227,10.10.10.1
10,10.10.10.83,D8:F9:4F:61:97:6F,核心IT与网络基础设备,清云宗核心交换机主控,灵药园,清云宗,青梦仙子,团宠专用,已使用,2024/2/28,SW-QY-1,Gig1/0/38,670292350,10.10.10.1
10,10.10.10.24,29:5F:23:22:78:CE,核心IT与网络基础设备,清云宗核心交换机主控,演武场,清云宗,青云内门弟子,资源监控,已使用,2025/9/26,SW-QY-1,Gig1/0/27,706907788,10.10.10.1
10,10.10.10.90,85:68:A0:7A:87:CA,核心IT与网络基础设备,清云宗路由器-018,招生殿,清云宗,闭关长老,日常使用,预留/备用,2026/8/16,SW-QY-1,Gig1/0/1,704509817,10.10.10.1
10,10.10.10.28,6D:87:43:B2:23:7D,办公与会议终端外设,清云宗会议终端-019,藏经阁,清云宗,藏经阁管事,备用节点,预留/备用,2025/12/21,SW-QY-3,Gig1/0/40,966616964,10.10.10.1
10,10.10.10.145,04:99:35:44:87:3B,核心IT与网络基础设备,清云宗核心交换机主控,藏经阁,清云宗,青云弟子乙,资源监控,已使用,2024/8/3,SW-QY-3,Gig1/0/14,383450553,10.10.10.1
10,10.10.10.135,80:1A:2F:D8:8D:16,核心IT与网络基础设备,清云宗路由器-021,藏经阁,清云宗,青云弟子乙,日常使用,已使用,2025/3/28,SW-QY-5,Gig1/0/46,110382761,10.10.10.1
10,10.10.10.29,4C:12:BD:4B:DC:41,核心IT与网络基础设备,清云宗路由器-022,弟子宿舍区,清云宗,青梦仙子,资源监控,预留/备用,2024/8/3,SW-QY-2,Gig1/0/43,,10.10.10.1
10,10.10.10.236,D0:4F:79:53:5A:D3,核心IT与网络基础设备,清云宗防火墙-023,弟子宿舍区,清云宗,丹房执事,,预留/备用,2026/6/3,SW-QY-2,Gig1/0/18,,10.10.10.1
10,10.10.10.37,C3:13:F0:71:66:EB,办公与会议终端外设,清云宗会议终端-024,演武场,清云宗,青云弟子甲,日常使用,已使用,2024/7/16,SW-QY-4,Gig1/0/22,,10.10.10.1
10,10.10.10.207,8E:B3:CC:A9:0E:3B,办公与会议终端外设,清云宗打印机-025,测灵根台,清云宗,青云弟子乙,秘境对接,已使用,2025/9/2,SW-QY-4,Gig1/0/23,436808455,10.10.10.1
20,172.20.20.165,3B:C5:61:82:16:DF,核心IT与网络基础设备,天剑宗核心交换机主控,挡劫平台,天剑宗,三师兄,,已使用,2024/3/12,SW-TJ-3,Gig1/0/40,233815413,172.20.20.1
20,172.20.20.240,99:9E:D1:A7:CE:97,安防监控与通道管理,天剑宗门禁闸机-002,食堂,天剑宗,天剑长老,资源监控,已使用,2025/1/23,SW-TJ-2,Gig1/0/40,536019893,172.20.20.1
20,172.20.20.223,00:9B:92:6B:DC:A4,办公与会议终端外设,天剑宗检索终端-003,小师妹洞府,天剑宗,三师兄,资源监控,已使用,2026/3/23,SW-TJ-2,Gig1/0/43,,172.20.20.1
20,172.20.20.179,AB:2F:78:9E:73:65,核心IT与网络基础设备,天剑宗核心交换机-004,剑峰主殿,天剑宗,三师兄,测试设备,已废弃,2025/9/17,SW-TJ-1,Gig1/0/30,776205431,172.20.20.1
20,172.20.20.59,C4:FD:CC:7C:4B:02,核心IT与网络基础设备,天剑宗服务器-005,食堂,天剑宗,二师兄,护短设备,预留/备用,2025/12/13,SW-TJ-5,Gig1/0/30,,172.20.20.1
20,172.20.20.244,3E:E9:44:ED:A2:E2,安防监控与通道管理,天剑宗通道监控-006,挡劫平台,天剑宗,化神长老,护短设备,预留/备用,2026/1/31,SW-TJ-4,Gig1/0/29,,172.20.20.1
20,172.20.20.225,8D:F8:7A:8C:E1:27,安防监控与通道管理,天剑宗存包柜-007,食堂,天剑宗,四师兄,护短设备,已使用,2026/7/3,SW-TJ-5,Gig1/0/6,,172.20.20.1
20,172.20.20.108,4E:6D:20:D4:D0:A9,安防监控与通道管理,天剑宗通道监控-008,师兄居所,天剑宗,扶颦,测试设备,已使用,2025/3/6,SW-TJ-4,Gig1/0/38,120972273,172.20.20.1
20,172.20.20.107,F4:03:B4:98:C7:D6,安防监控与通道管理,天剑宗门禁闸机-009,小师妹洞府,天剑宗,三师兄,秘境对接,已使用,2025/5/12,SW-TJ-1,Gig1/0/25,829223044,172.20.20.1
20,172.20.20.195,54:EF:41:0D:C9:0D,核心IT与网络基础设备,天剑宗服务器-010,藏经阁,天剑宗,化神长老,闭关专用,已使用,2024/9/23,SW-TJ-4,Gig1/0/21,,172.20.20.1
20,172.20.20.96,C2:8E:D7:81:29:F0,核心IT与网络基础设备,天剑宗核心交换机主控,剑峰主殿,天剑宗,五师兄,正常运行,已使用,2024/3/11,SW-TJ-1,Gig1/0/2,314061901,172.20.20.1
20,172.20.20.169,4E:7A:40:F2:3A:6F,办公与会议终端外设,天剑宗会议终端-012,炼器小作坊,天剑宗,二师兄,测试设备,已使用,2026/2/4,SW-TJ-1,Gig1/0/11,216070149,172.20.20.1
20,172.20.20.16,9F:C0:CB:65:26:7C,核心IT与网络基础设备,天剑宗路由器-013,剑冢,天剑宗,大师兄,闭关专用,预留/备用,2025/8/2,SW-TJ-1,Gig1/0/23,810303128,172.20.20.1
20,172.20.20.27,AE:06:D7:FA:36:DD,办公与会议终端外设,天剑宗检索终端-014,藏经阁,天剑宗,天剑长老,挡劫相关,已使用,2025/6/18,SW-TJ-3,Gig1/0/40,677858758,172.20.20.1
20,172.20.20.129,DF:89:A5:7D:2C:8E,办公与会议终端外设,天剑宗打印机-015,小师妹洞府,天剑宗,天剑宗主,团宠专用,已使用,2025/1/23,SW-TJ-3,Gig1/0/2,448981305,172.20.20.1
20,172.20.20.134,6C:B5:84:AE:8F:8D,安防监控与通道管理,天剑宗安防摄像头-016,挡劫平台,天剑宗,三师兄,,已使用,2026/1/7,SW-TJ-4,Gig1/0/32,358045858,172.20.20.1
